id,item_type,is_cel,is_future_or_scheduled,domain_key,subject,labels
19e9aacd7d4ff79b,sent,1,1,amchainitiative.org,Seeking critical review of public-source campus civil-rights archive,"[""CEL/Relationship/Keep Warm"",""CEL/Relationship/Call Scheduled"",""SENT"",""CEL/Relationship/Hard Block - No Cold Outreach""]"
19f32c8ffd4d335f,sent,1,1,ashe.ws,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f32c7889cf5b97,sent,1,1,bellwether.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f0ec1f40b540d3,sent,1,1,boltsmag.org,Possible reporting resource: Campus Evidence Lab,"[""SENT"",""CEL/Outreach/2026-06-28""]"
19f32c74f864ed56,sent,1,1,brookings.edu,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f32c6832dd4caf,sent,1,1,bucknell.edu,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f0ec09c5e06283,sent,1,1,campusreform.org,Possible reporting resource: Campus Evidence Lab,"[""SENT"",""CEL/Outreach/2026-06-28""]"
19f32c63d99f4c75,sent,1,1,carleton.edu,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f0ec18d770872a,sent,1,1,citylimits.org,Possible reporting resource: Campus Evidence Lab,"[""SENT"",""CEL/Outreach/2026-06-28""]"
19f32c7379ba150b,sent,1,1,clasp.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f2f609a2c0d6c8,sent,1,1,collegecampaign.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f32c71ce976e23,sent,1,1,collegepromise.org,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-05""]"
19f2f617fece0b07,sent,1,1,colorado.edu,Could Campus Evidence Lab be useful as source infrastructure?,"[""SENT"",""CEL/Outreach/2026-07-04""]"
19f0ec097dbe1678,sent,1,1,dailybruin.com,Possible reporting resource: Campus Evidence Lab,"[""SENT"",""CEL/Outreach/2026-06-28""]"
