id,name,city,state,country,website,total_event_count,latest_record_date,last_updated_date,affected_communities,event_categories,event_ids
university_of_kentucky,University of Kentucky,Lexington,KY,US,https://www.uky.edu,1,2025-09-23,2026-06-03,Asian; Black; Indigenous; Latino; Native,OCR complaint,evt_2026_0027
university_of_massachusetts_amherst,University of Massachusetts Amherst,Amherst,MA,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0056
university_of_michigan,University of Michigan,Ann Arbor,MI,US,https://umich.edu,2,2025-03-10,2026-06-03,Arab; Jewish; Muslim,OCR complaint,evt_2024_0005; evt_2025_0057
university_of_minnesota_twin_cities,"University of Minnesota, Twin Cities",Minneapolis,MN,US,https://twin-cities.umn.edu,2,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0005; evt_2025_0058
university_of_north_carolina,University of North Carolina,Chapel Hill,NC,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0059
university_of_south_florida,University of South Florida,Tampa,FL,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0060
university_of_southern_california,University of Southern California,Los Angeles,CA,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0061
university_of_tampa,University of Tampa,Tampa,FL,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0062
university_of_tennessee,University of Tennessee,Knoxville,TN,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0063
university_of_virginia,University of Virginia,Charlottesville,VA,US,,2,2025-03-10,2026-06-03,Jewish; Women,OCR complaint; Title IX compliance,evt_2025_0064; evt_2026_0025
university_of_washington,University of Washington,Seattle,WA,US,https://www.washington.edu,3,2025-05-06,2026-06-03,Arab; Jewish; Muslim; Palestinian,Institutional response; OCR complaint,evt_2025_0009; evt_2025_0065; evt_2026_0002
university_of_wisconsin_madison,"University of Wisconsin, Madison",Madison,WI,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0066
wellesley_college,Wellesley College,Wellesley,MA,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0067
wesley_college,Wesley College,Dover,DE,US,,1,2015-01-01,2026-06-03,Women,Title IX compliance,evt_2026_0020
whitman_college,Whitman College,Walla Walla,WA,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0068
wittenberg_university,Wittenberg University,Springfield,OH,US,,1,2018-01-01,2026-06-03,Women,Title IX compliance,evt_2026_0017
yale_university,Yale University,New Haven,CT,US,,1,2025-03-10,2026-06-03,Jewish,OCR complaint,evt_2025_0069
